Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,210,1.0,2,0.0204279491300603,0.00012004554032326594,0.01693598607620479,0.00040890599655429713
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.185096864735655,0.00021839552087315686
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,300,1.0,2,-0.19010350761983327,0.0007356854095546416,-0.0037606197754045576,0.0007595155362355838
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.6546040340586399,0.0008217933453807314
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.0826658908742789,9.222361068954757e-5
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07775894811804718,8.712513002874803e-5
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.2359814857324723,0.0002626795728972274
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005327322791255384,0.00015870028659893586
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,200,1.0,2,0.10088569222365515,9.917696692494475e-5,0.24079005372664167,0.0004611181400464575
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,201,1.0,2,0.12204175781261897,0.00011112433334373162,0.14115734723668683,0.0002749412412932706
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,210,1.0,2,0.01793757980793122,0.00010484877083046404,0.020665701967364336,0.0003734938798938064
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.18797001558349427,0.00019505513081231933
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,300,1.0,2,-0.14673729520684975,0.0005510510255457787,0.0001865904343464942,0.0006167333383032737
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.6330823035282142,0.0007689876182822901
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.08549704649272669,9.594336143777135e-5
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.0772836128228205,8.786176964275809e-5
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.22829999408319343,0.00026741696703671045
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005326782180503228,0.00015882245657167048
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,200,1.0,2,0.08879748978286527,9.29419631689832e-5,0.22578163862135356,0.00042514430830130394
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,201,1.0,2,0.10851918166648031,0.00010835580089105604,0.13692539096897266,0.00027082372280236376
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,210,1.0,2,0.01590094647958881,9.39981432210103e-5,0.023032599352389257,0.000321731151294724
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.19083924210409872,0.00020376271967209128
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,300,1.0,2,-0.11478234432568965,0.000459004487793829,0.004819396223857029,0.0005125221140956321
-0.0,-0.0,25.0,3,false,false,1.0,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.614191238786307,0.0007311366473091369
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.09470075159060573,0.00010827735894540493
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07486778584656419,8.060541144360932e-5
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.19685285489731236,0.0002156560824057054
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005147049630931126,0.0001292621278218185
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,200,1.0,2,0.053335183036613054,5.416170416249725e-5,0.1735794442876664,0.0003181729929340024
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,201,1.0,2,0.06809114453502478,6.630206424017965e-5,0.11942482066329903,0.00022202695440235126
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,210,1.0,2,0.009939327871880833,5.241923176586147e-5,0.02747162766267239,0.0002402534349502923
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.1953924038335538,0.00020732629845186877
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,300,1.0,2,-0.04411442939339506,0.00017192967394018296,0.01068782753692473,0.000302965971810647
-0.0,-0.0,25.0,3,false,false,1.5,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.534140237733265,0.000618308978341959
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.10044589041644966,0.00010074604930537676
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07271392420141887,7.676141254888232e-5
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.1756209758100553,0.00019774923964249863
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005022723766065066,0.00012006886047598806
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,200,1.0,2,0.03680123398622442,3.836671989857491e-5,0.14100721216469692,0.00024916820200569166
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,201,1.0,2,0.04836886664631455,4.7065293708358806e-5,0.1061340481911579,0.00018306882419356443
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,210,1.0,2,0.007067025600555378,3.551027578503928e-5,0.027191099098394064,0.00019221087663278522
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.19593908174979235,0.00019924292574199128
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,300,1.0,2,-0.02201946764372243,8.480722846704478e-5,0.011392166075403186,0.00020022781523136357
-0.0,-0.0,25.0,3,false,false,2.0,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.47715631578038276,0.0005623661333699811
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.10429732288247542,0.00011185424977991175
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.070935173319706,7.418151255864456e-5
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.16007783482215213,0.00017437122529080396
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.0049679330330858725,0.00010829662512141373
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,200,1.0,2,0.027419710697314015,2.9320842969642136e-5,0.11887268663347351,0.00021027400504808252
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,201,1.0,2,0.03685364455223731,3.644562868958629e-5,0.09560199858152532,0.00016006202936320296
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,210,1.0,2,0.005463612935811454,2.7075120058936548e-5,0.025857584879592038,0.00015417320113379122
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.19409351038921366,0.00020521454869222428
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,300,1.0,2,-0.01271385461281683,5.477958846533019e-5,0.010463715428192149,0.00013931308151708235
-0.0,-0.0,25.0,3,false,false,2.5,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.43375694768196754,0.0005070465679418438
-0.0,-0.0,25.0,3,false,false,3.0,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.10631562327007352,0.00010499340757241874
